iter	Passed	Remaining
0	141	140918
1	141	70612
2	141	47171
3	142	35473
4	143	28467
5	143	23778
6	143	20421
7	144	17912
8	144	15947
9	145	14380
10	145	13102
11	146	12035
12	146	11127
13	147	10363
14	147	9690
15	148	9106
16	148	8589
17	148	8126
18	149	7718
19	149	7344
20	150	7006
21	150	6703
22	151	6421
23	151	6165
24	152	5928
25	152	5714
26	152	5511
27	153	5330
28	154	5157
29	154	4992
30	154	4838
31	155	4702
32	155	4567
33	156	4445
34	156	4327
35	157	4215
36	157	4109
37	158	4010
38	158	3916
39	159	3829
40	160	3744
41	160	3661
42	160	3582
43	161	3510
44	162	3440
45	162	3373
46	163	3308
47	163	3246
48	164	3188
49	164	3130
50	165	3074
51	165	3018
52	166	2967
53	166	2918
54	167	2870
55	167	2825
56	168	2779
57	168	2734
58	168	2693
59	169	2654
60	170	2617
61	170	2580
62	171	2544
63	171	2509
64	172	2475
65	172	2443
66	173	2412
67	173	2376
68	173	2346
69	174	2316
70	174	2288
71	175	2260
72	175	2233
73	176	2207
74	176	2181
75	177	2157
76	177	2132
77	178	2115
78	179	2092
79	179	2069
80	180	2047
81	180	2024
82	181	2003
83	181	1983
84	182	1960
85	182	1941
86	183	1920
87	183	1902
88	184	1884
89	184	1866
90	185	1849
91	185	1832
92	186	1816
93	186	1801
94	187	1784
95	187	1769
96	188	1753
97	188	1738
98	189	1723
99	189	1709
100	190	1694
101	190	1677
102	190	1663
103	191	1648
104	191	1635
105	192	1622
106	192	1609
107	193	1596
108	193	1583
109	194	1570
110	194	1558
111	195	1546
112	195	1534
113	196	1523
114	196	1511
115	196	1499
116	197	1489
117	197	1478
118	198	1467
119	198	1457
120	199	1447
121	199	1437
122	200	1426
123	200	1416
124	201	1407
125	201	1397
126	202	1388
127	202	1378
128	202	1369
129	203	1360
130	203	1351
131	204	1343
132	204	1334
133	205	1326
134	205	1318
135	206	1310
136	206	1302
137	207	1294
138	207	1287
139	208	1279
140	208	1272
141	209	1264
142	209	1257
143	210	1250
144	210	1243
145	211	1236
146	211	1229
147	212	1222
148	212	1215
149	213	1208
150	213	1201
151	215	1200
152	215	1193
153	216	1191
154	217	1184
155	217	1178
156	218	1172
157	218	1166
158	219	1159
159	219	1153
160	220	1148
161	220	1142
162	221	1136
163	221	1130
164	222	1124
165	222	1119
166	223	1113
167	223	1108
168	224	1103
169	224	1097
170	225	1092
171	226	1090
172	226	1084
173	227	1079
174	227	1074
175	229	1073
176	229	1068
177	230	1063
178	230	1058
179	231	1053
180	231	1047
181	232	1043
182	232	1038
183	233	1033
184	233	1029
185	234	1025
186	234	1020
187	235	1016
188	235	1011
189	236	1007
190	236	1003
191	237	999
192	237	994
193	238	990
194	238	986
195	239	981
196	239	977
197	240	973
198	240	968
199	241	964
200	241	960
201	242	956
202	242	953
203	243	949
204	243	945
205	244	941
206	244	938
207	245	934
208	245	930
209	246	927
210	247	923
211	247	920
212	248	916
213	248	912
214	249	909
215	249	905
216	250	902
217	250	898
218	251	895
219	251	892
220	252	888
