iter	Passed	Remaining
0	134	133928
1	134	67251
2	135	44956
3	135	33818
4	136	27137
5	136	22682
6	137	19500
7	138	17119
8	138	15279
9	139	13798
10	140	12603
11	140	11597
12	141	10742
13	142	10010
14	142	9384
15	143	8828
16	144	8340
17	144	7902
18	145	7518
19	146	7172
20	146	6851
21	147	6563
22	148	6299
23	149	6068
24	149	5846
25	150	5642
26	151	5456
27	152	5277
28	152	5109
29	153	4951
30	153	4809
31	154	4673
32	154	4540
33	155	4415
34	155	4297
35	156	4185
36	156	4079
37	157	3980
38	157	3885
39	158	3795
40	158	3709
41	159	3627
42	159	3550
43	160	3476
44	160	3405
45	160	3337
46	161	3271
47	161	3209
48	162	3148
49	162	3091
50	163	3038
51	163	2987
52	164	2938
53	165	2890
54	165	2845
55	166	2799
56	166	2755
57	167	2712
58	167	2672
59	168	2632
60	168	2595
61	169	2557
62	169	2521
63	169	2485
64	170	2450
65	171	2420
66	171	2390
67	172	2359
68	172	2329
69	173	2301
70	173	2272
71	174	2244
72	174	2217
73	175	2190
74	175	2165
75	176	2140
76	176	2116
77	177	2094
78	177	2073
79	178	2051
80	178	2030
81	179	2009
82	179	1986
83	180	1966
84	180	1946
85	181	1927
86	181	1908
87	182	1889
88	182	1871
89	183	1853
90	183	1836
91	184	1820
92	184	1803
93	185	1786
94	185	1770
95	186	1754
96	186	1738
97	187	1723
98	187	1708
99	188	1693
100	188	1678
101	189	1664
102	189	1651
103	190	1639
104	190	1627
105	191	1614
106	191	1602
107	192	1589
108	192	1576
109	193	1564
110	193	1552
111	194	1541
112	194	1529
113	195	1518
114	195	1508
115	196	1497
116	196	1486
117	197	1475
118	197	1465
119	198	1454
120	198	1444
121	199	1433
122	199	1423
123	200	1414
124	200	1404
125	201	1394
126	201	1384
127	201	1375
128	202	1368
129	203	1360
130	203	1351
131	204	1342
132	204	1335
133	205	1327
134	205	1319
135	206	1311
136	207	1304
137	207	1296
138	208	1288
139	208	1282
140	209	1274
141	209	1266
142	210	1259
143	210	1253
144	211	1246
145	212	1240
146	212	1233
147	213	1226
148	213	1219
149	214	1212
150	214	1206
151	215	1201
152	215	1194
153	216	1188
154	216	1181
155	217	1175
156	217	1168
157	218	1162
158	218	1156
159	219	1150
160	219	1143
161	220	1138
162	220	1132
163	221	1127
164	221	1122
165	222	1117
